carrier,dep_airport,arr_airport,dep_latitude,dep_longitude,arr_latitude,arr_longitude,dep_datetime_utc,air_time_minutes
AA,DFW,DCA,32.896801,-97.038002,38.8521,-77.037697,2017-01-01 00:00:00,127.0
AA,LAX,DFW,33.94250107,-118.4079971,32.896801,-97.038002,2017-01-01 00:00:00,157.0
DL,MSY,ATL,29.99340057373047,-90.25800323486328,33.6367,-84.428101,2017-01-01 00:00:00,55.0
EV,ICT,IAH,37.649899,-97.433098,29.984399795532227,-95.34140014648438,2017-01-01 00:00:00,94.0
OO,HDN,DEN,40.48120117,-107.2180023,39.861698150635,-104.672996521,2017-01-01 00:00:00,27.0
UA,ORD,EWR,41.9786,-87.9048,40.692501068115234,-74.168701171875,2017-01-01 00:00:00,85.0
VX,LAS,LAX,36.08010101,-115.1520004,33.94250107,-118.4079971,2017-01-01 00:00:00,41.0
WN,MDW,ATL,41.785999,-87.752403,33.6367,-84.428101,2017-01-01 00:00:00,101.0
WN,OAK,PHX,37.721298,-122.221001,33.43429946899414,-112.01200103759766,2017-01-01 00:00:00,88.0
WN,SLC,DEN,40.78839874267578,-111.97799682617188,39.861698150635,-104.672996521,2017-01-01 00:00:00,55.0
AA,MSP,LAX,44.882,-93.221802,33.94250107,-118.4079971,2017-01-01 00:01:00,199.0
DL,MDW,ATL,41.785999,-87.752403,33.6367,-84.428101,2017-01-01 00:01:00,99.0
DL,PHX,ATL,33.43429946899414,-112.01200103759766,33.6367,-84.428101,2017-01-01 00:01:00,175.0
DL,PHX,JFK,33.43429946899414,-112.01200103759766,40.63980103,-73.77890015,2017-01-01 00:01:00,238.0
DL,XNA,ATL,36.281898,-94.306801,33.6367,-84.428101,2017-01-01 00:01:00,87.0
OO,SEA,PHX,47.449001,-122.308998,33.43429946899414,-112.01200103759766,2017-01-01 00:01:00,137.0
OO,SFO,DFW,37.61899948120117,-122.375,32.896801,-97.038002,2017-01-01 00:01:00,187.0
UA,DEN,IAH,39.861698150635,-104.672996521,29.984399795532227,-95.34140014648438,2017-01-01 00:01:00,118.0
VX,SFO,DCA,37.61899948120117,-122.375,38.8521,-77.037697,2017-01-01 00:01:00,267.0
VX,SFO,HNL,37.61899948120117,-122.375,21.32062,-157.924228,2017-01-01 00:01:00,314.0
WN,LAS,BOI,36.08010101,-115.1520004,43.5644,-116.223,2017-01-01 00:01:00,85.0
DL,ABQ,SLC,35.040199,-106.609001,40.78839874267578,-111.97799682617188,2017-01-01 00:02:00,70.0
F9,MSP,DEN,44.882,-93.221802,39.861698150635,-104.672996521,2017-01-01 00:02:00,96.0
UA,SJC,DEN,37.362598,-121.929001,39.861698150635,-104.672996521,2017-01-01 00:02:00,122.0
VX,SFO,EWR,37.61899948120117,-122.375,40.692501068115234,-74.168701171875,2017-01-01 00:02:00,281.0
WN,PHX,HOU,33.43429946899414,-112.01200103759766,29.64539909,-95.27890015,2017-01-01 00:02:00,123.0
AS,KTN,SEA,55.35559845,-131.7140045,47.449001,-122.308998,2017-01-01 00:03:00,110.0
OO,FCA,DEN,48.31050109863281,-114.25599670410156,39.861698150635,-104.672996521,2017-01-01 00:03:00,105.0
OO,HLN,DEN,46.6068000793457,-111.98300170898438,39.861698150635,-104.672996521,2017-01-01 00:03:00,89.0
OO,LAX,AUS,33.94250107,-118.4079971,30.194499969482425,-97.6698989868164,2017-01-01 00:03:00,158.0
OO,OKC,DEN,35.39310073852539,-97.60070037841795,39.861698150635,-104.672996521,2017-01-01 00:03:00,76.0
WN,LAS,LGB,36.08010101,-115.1520004,33.81769943,-118.1520004,2017-01-01 00:03:00,41.0
WN,LAX,HOU,33.94250107,-118.4079971,29.64539909,-95.27890015,2017-01-01 00:03:00,164.0
WN,MSP,DEN,44.882,-93.221802,39.861698150635,-104.672996521,2017-01-01 00:03:00,94.0
WN,SJC,LAS,37.362598,-121.929001,36.08010101,-115.1520004,2017-01-01 00:03:00,57.0
AS,LAS,SEA,36.08010101,-115.1520004,47.449001,-122.308998,2017-01-01 00:04:00,151.0
DL,JAC,SLC,43.6072998046875,-110.73799896240234,40.78839874267578,-111.97799682617188,2017-01-01 00:04:00,46.0
DL,SGF,ATL,37.24570084,-93.38860321,33.6367,-84.428101,2017-01-01 00:04:00,89.0
WN,AMA,DAL,35.219398,-101.706001,32.847099,-96.851799,2017-01-01 00:04:00,46.0
WN,DAL,ATL,32.847099,-96.851799,33.6367,-84.428101,2017-01-01 00:04:00,104.0
EV,GRK,ATL,31.067199707,-97.8289031982,33.6367,-84.428101,2017-01-01 00:05:00,140.0
OO,LAX,RNO,33.94250107,-118.4079971,39.49909973144531,-119.76799774169922,2017-01-01 00:05:00,64.0
UA,ORD,DEN,41.9786,-87.9048,39.861698150635,-104.672996521,2017-01-01 00:05:00,118.0
WN,ICT,STL,37.649899,-97.433098,38.748697,-90.370003,2017-01-01 00:05:00,50.0
WN,MDW,LAS,41.785999,-87.752403,36.08010101,-115.1520004,2017-01-01 00:05:00,197.0
