carrier,dep_airport,arr_airport,dep_latitude,dep_longitude,arr_latitude,arr_longitude,dep_datetime_utc,air_time_minutes
AA,DFW,DCA,32.896801,-97.038002,38.8521,-77.037697,2017-01-01 00:00:00,127.0
AA,LAX,DFW,33.94250107,-118.4079971,32.896801,-97.038002,2017-01-01 00:00:00,157.0
DL,MSY,ATL,29.99340057373047,-90.25800323486328,33.6367,-84.428101,2017-01-01 00:00:00,55.0
EV,ICT,IAH,37.649899,-97.433098,29.984399795532227,-95.34140014648438,2017-01-01 00:00:00,94.0
OO,HDN,DEN,40.48120117,-107.2180023,39.861698150635,-104.672996521,2017-01-01 00:00:00,27.0
UA,ORD,EWR,41.9786,-87.9048,40.692501068115234,-74.168701171875,2017-01-01 00:00:00,85.0
VX,LAS,LAX,36.08010101,-115.1520004,33.94250107,-118.4079971,2017-01-01 00:00:00,41.0
WN,MDW,ATL,41.785999,-87.752403,33.6367,-84.428101,2017-01-01 00:00:00,101.0
WN,OAK,PHX,37.721298,-122.221001,33.43429946899414,-112.01200103759766,2017-01-01 00:00:00,88.0
WN,SLC,DEN,40.78839874267578,-111.97799682617188,39.861698150635,-104.672996521,2017-01-01 00:00:00,55.0
AA,MSP,LAX,44.882,-93.221802,33.94250107,-118.4079971,2017-01-01 00:01:00,199.0
DL,MDW,ATL,41.785999,-87.752403,33.6367,-84.428101,2017-01-01 00:01:00,99.0
DL,PHX,ATL,33.43429946899414,-112.01200103759766,33.6367,-84.428101,2017-01-01 00:01:00,175.0
DL,PHX,JFK,33.43429946899414,-112.01200103759766,40.63980103,-73.77890015,2017-01-01 00:01:00,238.0
DL,XNA,ATL,36.281898,-94.306801,33.6367,-84.428101,2017-01-01 00:01:00,87.0
OO,SEA,PHX,47.449001,-122.308998,33.43429946899414,-112.01200103759766,2017-01-01 00:01:00,137.0
OO,SFO,DFW,37.61899948120117,-122.375,32.896801,-97.038002,2017-01-01 00:01:00,187.0
UA,DEN,IAH,39.861698150635,-104.672996521,29.984399795532227,-95.34140014648438,2017-01-01 00:01:00,118.0
VX,SFO,DCA,37.61899948120117,-122.375,38.8521,-77.037697,2017-01-01 00:01:00,267.0
VX,SFO,HNL,37.61899948120117,-122.375,21.32062,-157.924228,2017-01-01 00:01:00,314.0
WN,LAS,BOI,36.08010101,-115.1520004,43.5644,-116.223,2017-01-01 00:01:00,85.0
DL,ABQ,SLC,35.040199,-106.609001,40.78839874267578,-111.97799682617188,2017-01-01 00:02:00,70.0
F9,MSP,DEN,44.882,-93.221802,39.861698150635,-104.672996521,2017-01-01 00:02:00,96.0
